Region,שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מקצוע,"י""ל",מספר נבחנים,ממוצע ציון סופי,סמל מוסד
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,מדע וטכנולוגיה לכל,5,97,82.48,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,מדע וטכנולוגיה לכל,5,84,84.2,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,מדע וטכנולוגיה לכל,5,108,79.41,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,מנהל וכלכלה,5,55,76.89,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,מנהל וכלכלה,5,49,78,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,מנהל וכלכלה,5,43,78.7,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,מערכות אלקטרוניות,3,22,80.82,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,מערכות אלקטרוניות,5,33,92.67,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,מערכות אלקטרוניות,3,19,82.26,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,מערכות אלקטרוניות,5,34,93.82,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,מערכות אלקטרוניות,3,22,78.68,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,מערכות אלקטרוניות,5,38,93.5,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,מערכות ביוטכנולוגיה,5,28,66.96,248179
