Region,שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מקצוע,"י""ל",מספר נבחנים,ממוצע ציון סופי,סמל מוסד
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2021,עברית בחינוך הערבי,3,45,88.8,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,עברית בחינוך הערבי,3,45,84.18,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2023,עברית בחינוך הערבי,3,43,87.23,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2021,ערבית לערבים,3,43,86.33,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,ערבית לערבים,3,45,80,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2023,ערבית לערבים,3,43,76.77,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,פיסיקה,5,11,89.36,247098
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,אזרחות,2,71,69.08,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,אזרחות,2,69,78.26,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,אזרחות,2,52,81.21,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,אלקטרוניקה ומחשבים,5,16,80.06,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,אלקטרוניקה ומחשבים,5,21,76.29,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,אלקטרוניקה ומחשבים,5,13,74.31,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,אמנות שימושית,5,16,65.69,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,אמנות שימושית,5,22,71,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,אנגלית,3,27,69.52,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,אנגלית,4,15,65.53,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,אנגלית,5,28,79.04,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,אנגלית,3,12,68.42,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,אנגלית,4,23,75.78,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,אנגלית,5,34,82.15,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,אנגלית,3,11,69.82,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,אנגלית,4,21,75.29,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,אנגלית,5,19,84.32,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,הסטוריה,2,73,70.33,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,הסטוריה,2,70,75.24,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,הסטוריה,2,54,77.57,770776
